polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam
USR-UNILEVER,CHANGE-CSTTYP,ENABLED,----,0,,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,0,0030001142,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,1,0030316385,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,2,0030001580,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,3,0030001144,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,4,0030001585,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,5,0030001724,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,6,0030001141,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,7,0030001189,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,8,0030001745,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,9,0030005627,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,10,0030001187,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,11,0030001140,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,12,0030001138,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,13,0030001576,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,14,0030325029,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,15,0030001139,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,16,0030001188,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,17,0030001143,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,18,0030171829,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,19,0030005186,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,20,0030001185,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,21,0030001186,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,22,0030017667,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,23,0030495688,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,24,0030003943,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,25,0030003939,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,26,0030001567,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,27,0030003941,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,28,0030003947,,1,0,0,0,,,
USR-UNILEVER,CHANGE-CSTTYP,MULT,----,29,0030002564,,1,0,0,0,,,
