polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,0,<Customer>,,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,1,30003842,WHIT,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,2,30003840,WHIT,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,3,30683103,WHIT,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,4,30017502,WHIT,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,5,30633195,WHIT,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,6,30003842,PECO,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,7,30003840,PECO,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,8,30683103,PECO,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,9,30017502,PECO,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,VALIDATE-CUSTOMER,----,10,30633195,PECO,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,0,<CUSTOMER>,,0,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,1,30003847,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,2,50268354,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,3,50268362,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,4,50268368,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,5,30004200,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,6,50014907,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,7,50014930,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,8,50014937,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,9,50014939,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,10,50014949,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,11,50014951,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,12,50014959,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,13,50015600,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,14,50015603,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,15,50015605,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,16,50015612,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,17,50015616,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,18,50015618,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,19,50016247,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,20,50016522,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,21,50016537,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,22,50016544,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,23,30355480,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,24,50014931,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,25,50014950,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,26,50014952,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,27,50015599,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,28,50015602,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,29,50016248,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,30,50016464,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,31,50016475,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,32,50016527,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,33,3108,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,34,30386082,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,35,50016555,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,36,50016581,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,37,50016716,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,38,50016726,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,39,50016728,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,40,50016798,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,41,50016802,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,42,50016807,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,43,50023521,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,44,50023635,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,45,50016556,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,46,50016576,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,47,50016580,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,48,50016586,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,49,50020417,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,50,A000000019,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,51,3224,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,52,11500927,,1,0,0,0,sysdate,AMTEAM,
USR-UNILEVER,ASSET-VALIDATION,CUSTOMER-ID,----,53,30003175,,1,0,0,0,sysdate,AMTEAM,
