polcod,polvar,polval,wh_id_tmpl,srtseq,rtstr1,rtstr2,rtnum1,rtnum2,rtflt1,rtflt2,moddte,mod_usr_id,grp_nam
USR-UNILEVER,CLUSTER-PICK,ENABLE,990,0,,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,1,0030015815,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,2,0030003764,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,3,0030003100,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,4,0030004159,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,5,0030001336,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,6,0030007746,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,7,0030002133,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,8,0030002129,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,9,0030007735,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,EXCLUDE-CUST,990,10,0030003340,,1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,0,"AEROPF01,FLAMPF01","MZ-SHPN001,MZ-SHPN002,MZ-SHPN003,MZ-SHPN004,MZ-SHPLTLS001,MZ-SHPAMZ01",1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,1,"AEROPF01,FLAMPF01","MZ-SHPS001,MZ-SHPS002,MZ-SHPS003,MZ-INVENTRY02",1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,2,"DSCLUBPF,HPCPF01,SUNDPF01,SUNDPF02,WMPF01","MZ-SHPN001,MZ-SHPN002,MZ-SHPN003,MZ-SHPN004,MZ-SHPLTLS001,MZ-SHPAMZ01",1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,3,"DSCLUBPF,HPCPF01,SUNDPF01,SUNDPF02,WMPF01","MZ-SHPS001,MZ-SHPS002,MZ-SHPS003,MZ-INVENTRY02",1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,4,SVGPF01,"MZ-SHPN001,MZ-SHPN002,MZ-SHPN003,MZ-SHPN004,MZ-SHPLTLS001,MZ-SHPAMZ01",1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,5,SVGPF01,"MZ-SHPS001,MZ-SHPS002,MZ-SHPS003,MZ-INVENTRY02",1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,6,FOODPF01,"MZ-SHPN001,MZ-SHPN002,MZ-SHPN003,MZ-SHPN004,MZ-SHPLTLS001,MZ-SHPAMZ01",1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,7,FOODPF01,"MZ-SHPS001,MZ-SHPS002,MZ-SHPS003,MZ-INVENTRY02",1,0,0,0,,SUPER,TMP056
USR-UNILEVER,CLUSTER-PICK,SRC-DST,990,8,<<SOURCE AREA SEPARATED BY COMMA>>,<<DESTINATION MZ STAGE AREA SEPARATED BY COMMA>>,0,0,0,0,,SUPER,TMP056
RDTALLOPR,DEFAULT-FORM-FLOW,CPCK,----,0,LOOK_WORK,,0,0,0,0,,NOUSER,TMP056
RDTALLOPR,DEFAULT-FORM-FLOW,CPCK,----,1,DIR_LIST_PICK,,0,0,0,0,,SUPER,TMP056
RDTALLOPR,DEFAULT-FORM-FLOW,CPCK,----,2,UNDIR_LIST_PICK,,0,0,0,0,,SUPER,TMP056
